name,neighbourhood_cleansed,neighbourhood_group_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,beds,latitude,longitude,distance,monthly_rent,rent_efficiency_per_bedroom,log_rent,distance_norm,distance_bucket,drive_time,transit_time,commute_gap,commute_score,rent_per_min_drive,neigh_score,drive_time_norm,transit_time_norm,rent_norm,score,score_norm
"Treasure @Best location in LA, West Hollywood",Hollywood,City of Los Angeles,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,34.09560637124078,-118.3489263,9.990923669280916,1800.0,1800.0,7.496097345175956,1.5134449039251396,medium,26.833333333333332,37.083333333333336,10.250000000000004,31.958333333333336,67.08074534161491,0.5,0.7954887218045112,0.25280302136197336,0.5730906109697704,-0.4684434652016563,0.3759466974306554
Brand New West LA Private Bedroom & Bathroom,Sawtelle,City of Los Angeles,Private room in rental unit,Private room,1,1.0,1.0,1.0,34.036609169531005,-118.4478673,3.2400805879905894,990.0,990.0,6.898714534329988,-1.7633345425010598,close,13.333333333333334,29.95,16.616666666666667,21.641666666666666,74.25,0.5,0.3894736842105263,0.2022896258704119,0.424085373645475,-0.27693417989543023,0.6487007491858011
Eco Garden Studio,Culver City,Other Cities,Entire cabin,Entire home/apt,2,1.0,1.0,1.0,34.00126941489453,-118.4186219,7.2665613885233515,2700.0,2700.0,7.901377353792616,0.19107165087969988,medium,16.9,35.916666666666664,19.016666666666666,26.40833333333333,159.76331360946747,0.7,0.4967418546365914,0.24454148471615722,0.6741796325658217,-0.3976027063605375,0.47684052078981
Westwood Village,Westwood,City of Los Angeles,Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,34.052665448040706,-118.4436873,1.6304874688540583,2178.0,2178.0,7.68662133494462,-2.544612019459911,very_close,8.333333333333334,16.35,8.016666666666667,12.341666666666669,261.35999999999996,1.0,0.23909774436090225,0.10598371297061254,0.6206130233928011,-0.24117127525951362,0.6996354969521122
Captivating 2 Bedroom House w/ BBQ | Near Beach,Playa Vista,City of Los Angeles,Entire home,Entire home/apt,11,3.0,2.0,5.0,33.98493,-118.41439,8.944393215864494,4104.0,2052.0,8.31996102188653,1.0054713903179222,medium,15.766666666666667,43.4,27.633333333333333,29.583333333333332,260.29598308668074,0.5,0.46265664160401004,0.29753334120146346,0.77858698689877,-0.4597384554810037,0.3883446689863392
"Master bedroom private bath, LA",Westwood,City of Los Angeles,Private room in rental unit,Private room,2,1.0,1.0,1.0,34.054,-118.43009,2.1220794047341913,1134.0,1134.0,7.034387929915503,-2.3059991036916188,close,8.516666666666667,20.716666666666665,12.199999999999998,14.616666666666667,133.15068493150685,1.0,0.24461152882205517,0.13690546441638143,0.4579263984302094,-0.1839351109019766,0.7811531931331556
"Tranquil Culver City bedroom, hillside (garden)",Culver City,Other Cities,Private room in home,Private room,2,1.0,1.0,1.0,33.99545,-118.38696,9.373793309007787,2430.0,2430.0,7.796057974316123,1.2138971206396678,medium,20.2,39.13333333333333,18.933333333333334,29.666666666666664,120.2970297029703,0.7,0.5959899749373433,0.2673197214681931,0.6479098121946615,-0.42142486165270626,0.4429121952410536
Spacious Boho-chic Brentwood Apartment,Sawtelle,City of Los Angeles,Entire rental unit,Entire home/apt,2,1.0,1.0,2.0,34.04797671770184,-118.4600494,2.5657132000448137,1800.0,1800.0,7.496097345175956,-2.09066450255969,close,10.816666666666666,26.4,15.583333333333332,18.608333333333334,166.40986132511557,0.5,0.31378446115288217,0.17715095007671428,0.5730906109697704,-0.3088017727491157,0.6033138372320158
90210 Beverly Hills Top Floor Corner Junior 1 Bdrm,Beverly Hills,Other Cities,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,34.06561,-118.40406,4.127134235762008,1998.0,1998.0,7.6004023345004,-1.3327691855680115,close,13.033333333333333,27.833333333333332,14.799999999999999,20.433333333333334,153.2992327365729,0.5,0.3804511278195489,0.18730083795585978,0.5991074119326026,-0.3412384707100777,0.5571163863864164
By the Grove! 2BR/2BA,Mid-Wilshire,City of Los Angeles,Entire rental unit,Entire home/apt,7,2.0,2.0,4.0,34.06675,-118.3563,8.892599451228627,5382.0,2691.0,8.591001118560957,0.980331309091296,medium,26.683333333333334,55.083333333333336,28.400000000000002,40.88333333333333,201.6989381636477,0.5,0.7909774436090226,0.3802667296117078,0.8461925376379702,-0.6018235940602364,0.1859821716290522
