name,neighbourhood_cleansed,neighbourhood_group_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,beds,latitude,longitude,distance,monthly_rent,rent_efficiency_per_bedroom,log_rent,distance_norm,distance_bucket,drive_time,transit_time,commute_gap,commute_score,rent_per_min_drive,neigh_score,drive_time_norm,transit_time_norm,rent_norm,score
Cozy Home by the Beach.,Venice,City of Los Angeles,Entire rental unit,Entire home/apt,3,1.0,1.0,1.0,33.98129528,-118.4673277,9.035608487295487,2034.0,2034.0,7.618251097876695,1.0474947751815464,medium,25.45,56.733333333333334,31.283333333333335,41.09166666666667,79.92141453831042,0.5,0.7538847117794486,0.33528520949015644,0.3666193238647309,-0.3898701849777582
Beverly Hills Patio Perfection: Near K-Town,Beverly Hills,Other Cities,Entire rental unit,Entire home/apt,8,2.0,3.0,4.0,34.0663,-118.3802,6.5051979216621145,3924.0,1308.0,8.275121630216509,-0.18864200004844517,medium,18.65,33.68333333333333,15.033333333333331,26.166666666666664,210.402144772118,0.5,0.5493734335839598,0.1956587582029278,0.6283865728006547,-0.4052984108360354
Bright Updated Venice Beach House,Venice,City of Los Angeles,Entire bungalow,Entire home/apt,5,1.0,2.0,3.0,33.99635,-118.46916,7.640408431491126,3528.0,1764.0,8.16876982367527,0.3659223374095686,medium,21.4,48.85,27.450000000000003,35.125,164.85981308411215,0.5,0.632080200501253,0.28753154972236245,0.5860046749272639,-0.43153224006575397
Nice and cozy apartament,Beverly Hills,Other Cities,Entire rental unit,Entire home/apt,4,1.0,0.0,1.0,34.06583,-118.37525,7.001733642463706,6300.0,6300.0,8.748463629942055,0.05392182458708208,medium,20.416666666666668,38.6,18.183333333333334,29.508333333333333,308.57142857142856,0.5,0.6025062656641604,0.2254416961130742,0.8170164883985217,-0.5026468142812717
Exquisite Venice Eco / Zen Home,Venice,City of Los Angeles,Entire home,Entire home/apt,6,2.5,3.0,3.0,33.99459,-118.46334,7.649206298695075,9000.0,3000.0,9.105090961257085,0.3702202040649227,medium,21.5,54.46666666666667,32.96666666666667,37.983333333333334,418.6046511627907,0.5,0.6350877192982456,0.3215547703180212,0.9591348371713997,-0.5884912047216377
Chic Modern Suite,West Hollywood,Other Cities,Entire rental unit,Entire home/apt,2,1.0,0.0,2.0,34.0944796,-118.3743462,7.5329787671274335,2340.0,2340.0,7.75833346749091,0.313441621167643,medium,20.85,28.883333333333333,8.033333333333331,24.866666666666667,112.23021582733813,0.5,0.6155388471177945,0.16658253407370016,0.4224430740757827,-0.3369553905803915
Boho-Chic bungalow.,Venice,City of Los Angeles,Entire home,Entire home/apt,4,1.0,1.0,1.0,33.99339271135585,-118.4608567,7.711344171595706,4230.0,4230.0,8.350193650720067,0.40057532147955877,medium,22.366666666666667,54.86666666666667,32.5,38.61666666666667,189.12071535022355,0.5,0.6611528822055138,0.3239777889954568,0.6583032691841539,-0.47646273013440715
Central Stylish 2 Bed | 2 Bath Apartment,Santa Monica,Other Cities,Entire rental unit,Entire home/apt,4,2.0,2.0,2.0,34.01604652766969,-118.4950657,7.266414228394158,4914.0,2457.0,8.500047032581268,0.18322155578550864,medium,17.416666666666668,34.35,16.933333333333334,25.883333333333333,282.14354066985646,0.8,0.512280701754386,0.19969712266532055,0.7180208323602991,-0.4008319680034996
3Bed/2Bath Westside Modern Oasis,Palms,City of Los Angeles,Entire home,Entire home/apt,6,2.0,3.0,3.0,34.02843560945843,-118.4235203,4.590616836537972,3150.0,1050.0,8.055475141757274,-1.1239384774757373,close,13.8,22.016666666666666,8.216666666666665,17.90833333333333,228.26086956521738,0.6,0.4035087719298246,0.12498738011105502,0.5408559953250526,-0.30239250573117943
Magical Laurel Canyon oasis,Hollywood Hills West,City of Los Angeles,Entire home,Entire home/apt,6,3.0,3.0,4.0,34.10467923115576,-118.3765607,7.740482469838204,7326.0,2442.0,8.899321434159964,0.41480973960694095,medium,29.35,66.98333333333333,37.63333333333333,48.16666666666667,249.60817717206132,0.5,0.8711779448621554,0.3973750630994447,0.8771343205228699,-0.6416821242876835
Ideal spot near Sunset Blvd,Hollywood Hills West,City of Los Angeles,Private room in home,Private room,2,1.0,1.0,1.0,34.10254,-118.35953,9.203802746690485,2142.0,2142.0,7.669961995473577,1.1296597456588524,medium,26.183333333333334,37.96666666666667,11.783333333333335,32.075,81.80776575429663,0.5,0.7759398496240602,0.22160524987380112,0.3872264583570124,-0.38199358820478324
Centrally located 2b/2ba Bungalow,West Hollywood,Other Cities,Entire home,Entire home/apt,4,2.0,2.0,2.0,34.09151,-118.36679,8.160478049722839,4860.0,2430.0,8.488999457045455,0.6199827612424602,medium,23.816666666666666,39.85,16.033333333333335,31.833333333333336,204.05878236529043,0.5,0.7047619047619047,0.2330136294800606,0.7136183004867497,-0.4934786175192834
Modern Studio in Korea Town,Carthay,City of Los Angeles,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,34.06401389802049,-118.3716928,7.36694132214541,2286.0,2286.0,7.734996194022781,0.23233028113649182,medium,21.066666666666666,43.63333333333333,22.566666666666666,32.35,108.5126582278481,0.5,0.6220551378446115,0.2559313478041393,0.4131430163434664,-0.35306001745159793
Ocean view PH 1bd parking,Santa Monica,Other Cities,Entire rental unit,Entire home/apt,4,1.0,1.0,1.0,34.01452564944079,-118.4987931,7.63465150897253,3114.0,3114.0,8.043984431221553,0.36311000974462876,medium,18.933333333333334,40.166666666666664,21.23333333333333,29.549999999999997,164.4718309859155,0.8,0.5578947368421052,0.23493185259969712,0.5362768712249952,-0.3488655400625691
Sea Ray 280 motor yacht,Marina del Rey,Unincorporated Areas,Boat,Entire home/apt,4,1.0,1.0,2.0,33.9740214,-118.4505357,9.502851378639084,4302.0,4302.0,8.3670677328386,1.2757486912846991,medium,27.316666666666666,121.05,93.73333333333333,74.18333333333334,157.4862721171446,0.5,0.8100250626566415,0.7248864209994952,0.6650277024430993,-0.6039958839741313
"Cozy Studio, Perfect Location!",Palms,City of Los Angeles,Entire rental unit,Entire home/apt,2,1.0,0.0,1.0,34.02097,-118.40687,6.137160418304412,1350.0,1350.0,7.208600337960199,-0.36843286037091333,medium,16.466666666666665,51.4,34.93333333333334,33.93333333333333,81.9838056680162,0.6,0.4837092731829573,0.3029782937910146,0.20337078831864605,-0.22705675604054854
Modern Guesthouse - Heart of LA,Fairfax,City of Los Angeles,Entire home,Entire home/apt,2,1.0,1.0,0.0,34.08191562317372,-118.3526929,9.341825301840869,2142.0,2142.0,7.669961995473577,1.197085466429147,medium,26.183333333333334,60.11666666666667,33.93333333333334,43.15,81.80776575429663,0.5,0.7759398496240602,0.3557799091367996,0.3872264583570124,-0.40882852005738296
Sunny & Spacious 2Bed 2Bath Apt,Venice,City of Los Angeles,Entire rental unit,Entire home/apt,4,2.0,2.0,2.0,33.98669240155258,-118.4448475,8.220835419069013,5400.0,2700.0,8.594339400592892,0.6494680807073159,medium,20.416666666666668,61.266666666666666,40.849999999999994,40.84166666666667,264.48979591836735,0.5,0.6025062656641604,0.362746087834427,0.7555969642688739,-0.505539882973683
King Size Bed Private Studio,Beverly Hills,Other Cities,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,34.05845,-118.38476,6.133674347403808,2880.0,2880.0,7.9658927350845286,-0.3701358490083392,medium,18.183333333333334,32.36666666666667,14.183333333333334,25.275,158.38680109990833,0.5,0.5353383458646617,0.18768298838970218,0.5051568141420358,-0.3502008270941533
